,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5073,Gran Epoca,,"Lunch, Dinner",2.5,,"Calle Sepulveda, 94","Carrer de Sepúlveda, 08015 Barcelona, Spain",41.3803469,2.1586871
5074,Chiribito,,"Bar, Pub",3.0,,Passeig de Fabra i Puig 264,"Passeig de Fabra i Puig, 08031 Barcelona, Spain",41.4303053,2.1755374
5075,Alexandra,,,2.5,,"Diagonal, 287","Diagonal, Passeig de Gràcia, 08008 Barcelona, Spain",41.3955498,2.1604573
5076,Frankfurts Leo Boeck,,€2 - €6,2.5,,"Calle Alfambra , 20","Alfambra, Carrer de Trias i Giró, 08034 Barcelona, Spain",41.3862381,2.1124486
5077,bar cafeteria carlos 1,,Spanish,3.0,,C/ Marina 168,"08729 Castellet i la Gornal, Spain",41.25977,1.6430355
5078,Burger Bus BCN,,€8 - €15,3.0,,"Moll de mestral, 37-38","Moll de Mestral, 08071 Barcelona, Spain",41.3872066,2.1985088
5079,Fragua Grill,,€4 - €22,3.0,,15 Rambla del Raval,"Rambla del Raval, 08001 Barcelona, Spain",41.3776776,2.1703374
5080,Bar - Restaurante Fernando,,Spanish,3.0,,"Carrer de Ferran, 31","Cafe Hostal Fernando, Carrer de Ferran, 31, 08002 Barcelona, Spain",41.3814358,2.1757307
5081,Bar Restaurant Bauma,,"Seating, Table Service",3.0,,"Roger de Lluria, 124","Roger De Lluria, Carrer de Roger de Llúria, 08010 Barcelona, Spain",41.3910629,2.1718498
5082,Xarcuteria Garciz,,Spanish,2.5,,"Escocia, 134","Escòcia, Carrer d'Escòcia, 08031 Barcelona, Spain",41.4286178,2.1794363
5083,El Fornet,,"Breakfast, Lunch, Dinner",3.0,,"Carrer Pujades, 362","Carrer Pujades, 08783 Masquefa, Spain",41.5043137,1.8092083
5084,restaurante La Colla,,€4 - €12,2.5,,Carre de L'art,"Catalonia, Spain",41.66667,2.0
5085,Rodilla,,"Bar, Cafe, European, Spanish, Pub, Central European",2.5,,Carrer Pelai 11,"Carrer Pelai, 08397 Pineda de Mar, Spain",41.6199384,2.6811168
5086,Central Cafe,,€5 - €10,3.0,,"Carrer del Doctor Fleming, 19","Central Cafè, Carrer del Doctor Fleming, 19, 08017 Barcelona, Spain",41.3939234,2.1347193
5087,22 alf@,,€10 - €35,3.0,,Badajoz 115,"Carrer de Badajoz, 115, 08018 Barcelona, Spain",41.4000572,2.1933823
5088,El Picot,,,2.5,,"Carretera de l'Esglesia, 92","Carretera de l'Església, 08196 Barcelona, Spain",41.4179023,2.1053261
5089,Vatua l'Olla,,"Mediterranean, Spanish, Gastropub",2.5,,C/Parlament 26 Local 2,"Carrer del Parlament, 08015 Barcelona, Spain",41.3758931,2.161805
5090,Pans & Company Horta,,Mediterranean,3.0,,"C/ Tajo, 37-43","Carrer del Tajo, 08043 Barcelona, Spain",41.4295536,2.161488
5091,El petit Buddha,,Spanish,2.5,,Av onze de setembre 265,"Avinguda Onze de Setembre, 08830 Sant Boi de Llobregat, Spain",41.3386284,2.0414033
5092,Taifeng,,"Chinese, Sushi, Asian, Japanese",3.0,,"Calle Muntaner, 111","Muntaner, Via Augusta, 08021 Barcelona, Spain",41.3986188,2.1428749
5093,Centric Cafe,,"Bar, Cafe, Fast Food, Pub",3.0,,Plaza del Sol 14,"Plaça del Sol, Can Feu, Sabadell, Catalonia, Spain",41.5402968,2.0969337
5094,La Rambla Bar Restaurant,,,2.5,,"Rambla de Prim, 19","Rambla de Prim, 19, 08019 Barcelona, Spain",41.4116133,2.218234
5095,La Bona Cuina,,€15 - €40,2.0,,12 Carrer Pietat,"Carrer Pietat, 08303 Mataró, Spain",41.5485768,2.4339469
5096,La Forneria,,Cafe,3.0,,"carrer Angli, 1","Eurostar Anglí, Carrer d'Anglí, 60, 08017 Barcelona, Spain",41.4031218,2.1231758
5097,Las Torres,,European,3.0,,Calle Tarragona 68,"Carrer Tarragona, 08303 Mataró, Spain",41.5439848,2.4245662
5099,Rotana Barcelona,,€5 - €30,2.0,,C/ Moll Del Mestral No 34-37,"Moll de Mestral, 08071 Barcelona, Spain",41.3872066,2.1985088
5100,Estraperlo Barceloneta,,"Mediterranean, Catalan",2.5,,"Carrer Atlantida, 65","carrer de l'Atlàntida, 08923 Badalona, Spain",41.4439415,2.2190018
5101,La encina,,€2 - €100,2.5,,Ronda Sant Pere 72,"Ronda Sant Pere, Plaça de Catalunya, 08010 Barcelona, Spain",41.3877901,2.1705608
5102,Bar Cafereria Hot Valencia Frankfurt,,,2.0,,Avingua Meridiana 137,"Catalonia, Spain",41.66667,2.0
5103,Gourmet O'vesuvio,,€2 - €70,4.5,,Avenida Artur Carbonell,"Catalonia, Spain",41.66667,2.0
5104,Tabernas Gallegas La Maquinista,,"Seafood, Spanish",3.0,,Passeig De L'Havana 1,"Passeig de l'Havana, 08195 Sant Cugat del Vallès, Spain",41.4634476,2.0628799
5105,Romanpizza,,,2.5,,"Roses, 59","Carrer del Torrent de les Roses, 59, 08034 Barcelona, Spain",41.3894703,2.1035853
5106,Enrich,,Mediterranean,2.5,,Rossello 54,"Forn Enrich, Carrer del Rosselló, 54, 08029 Barcelona, Spain",41.3859711,2.1477293
5107,Franfurt Berliner,,Cafe,2.5,,"Calle de las Navas de Tolosa, 296","Carrer de las Navas de Tolosa, 296, 08027 Barcelona, Spain",41.4161319,2.1859347
5108,Joali,,"Bar, Spanish, Pub",3.0,,Placa Del Sol 7,"Plaça del Sol, Can Feu, Sabadell, Catalonia, Spain",41.5402968,2.0969337
5109,Chiringuito Sahara Beach Bar,,,3.0,,Playa San Meguil,"Catalonia, Spain",41.66667,2.0
5110,El Petit Buda,,Thai,2.5,,"Carrer Paris, 38","Carrer París, Calaf, Spain",41.7345229,1.5129803
5111,Bar Colombia,,"Breakfast, Lunch, Dinner",2.5,,"Rambla de Fabra I Puig, 1","Rambla de Fabra i Puig, 08030 Barcelona, Spain",41.4301798,2.1879978
5112,4 Latas Granados,,"Mediterranean, Spanish, European, Catalan",3.0,,"Carrer d'Enric Granados, 56,","Carrer d'Enric Granados, 56, 08830 Sant Boi de Llobregat, Spain",41.3361129,2.0431159
5113,Madame Magdalena Boulangerie,,"Italian, French, Cafe, Spanish, Eastern European, Ukrainian",2.0,,"calle Entenca, 15","Entença, Carrer del Rosselló, 08936 Barcelona, Spain",41.3839818,2.1449598
5114,Original's,,,2.5,,Balmes,"Rec dels Escalars de les Balmes, Tavertet, Catalonia, Spain",41.9930138,2.3968264
5115,La Bodegeta,,"Bar, Spanish",2.5,,"Comte de Santa Clara, 25","Catalonia, Spain",41.66667,2.0
5116,Restaurante Parc Guell,,Spanish,3.0,,C/ Larrad 59,"Catalonia, Spain",41.66667,2.0
5117,Panchito Restaurant,,Mexican,3.0,,"Carrer Amigo, 57","Amigó, Carrer de Tamarit, 08011 Barcelona, Spain",41.3794054,2.1617499
5118,Restaurante Kingyo,,€12 - €30,3.0,,"Carrer de Cartella, 194","Carrer de Cartellà, 08031 Barcelona, Spain",41.4278096,2.1722081
5119,Restaurante Rosi Hu,,Chinese,2.0,,"Viladomat, 73","Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
5120,Cerveseria Pepe 2,,"Mediterranean, Spanish",3.0,,Avinguda Del Paral. Lel 74,"Catalonia, Spain",41.66667,2.0
5121,Braseria La Placa,,"Spanish, Pub, Gastropub",3.0,,Passeig zona Franca 174,"Ronda Litoral / (industrial) Zona Franca;(harbour) Cargo Nord; Passeig de Zona Franca (Fira), 08038 Barcelona, Spain",41.3465456,2.1404504
5122,Glass 23,,Dinner,4.0,,Avenida Sarria 23,"Av Sarrià, Carrer de la Caravel·la La Niña, 08021 Barcelona, Spain",41.3914151,2.1327646
5123,La Tartana,,"Mediterranean, Spanish",3.0,,Carrer de Juan Guell 23,"Catalonia, Spain",41.66667,2.0
5124,El Chiringuito Group Natura Beach,,€10 - €30,2.0,,Ronda litoral,"Ronda Litoral, 08080 Barcelona, Spain",41.33944,2.1173709
5125,La Tasca D'or,,,2.5,,"Calle Bailen, 146","Carrer Bailen, 08402 la Roca del Vallès, Spain",41.6030546,2.3012683
5126,BocaLoca,,Spanish,2.0,,Calle Puigcerda 225,"Carrer Puigcerdá, 08110 Montcada i Reixac, Spain",41.495243,2.1838203
5127,Colmado Murria,,Deli,5.0,,"Carrer de Roger de Lluria, 85","Colmado Múrria, Carrer de Roger de Llúria, 85, 080009 Barcelona, Spain",41.3947754,2.1664739
5128,Caruso,,Italian,3.0,,La rambla 96,"La Rambla, 96, 80002 Barcelona, Spain",41.3823568,2.1724339
5129,Bocpertot,,"Seating, Wheelchair Accessible",3.0,,"Paseo La Rambla, 56","Tavertet, Catalonia, Spain",42.0135355,2.425772
5130,Pica Pica Picadito,,Spanish,2.5,,Paseo Sant Antoni 25,"Sant Antoni, el Pujol Nou, Artés, Catalonia, Spain",41.7984872,1.9421318
5131,Noubar,,€7 - €10,2.0,,"Santapau, 23","Escola Dolors Monserdà-Santapau, Carrer de Vidal i Quadras, 08017 Barcelona, Spain",41.4051617,2.1150647
5132,Portal del Mar,,Mediterranean,3.0,,Dr. Trueta 118,"Carrer del Doctor Trueta, 08780 el Papiol, Spain",41.4360978,2.007259
5133,Pans & Company,,€3 - €7,2.0,,"Passeig d'Andreu Nin, 51","El Corte Inglés (Can Dragó), Passeig d'Andreu Nin, 51, 08016 Barcelona, Spain",41.4362336,2.1814176
5134,Goiko - Carrer Independencia 339,,American,3.0,,Carrer Independencia 339,"Carrer Independencia, 08290 Cerdanyola del Vallès, Spain",41.4877858,2.1335713
5135,Liceu,,,2.0,,La Rambla 84,"Tavertet, Catalonia, Spain",42.0135355,2.425772
5136,Restaurante Qu-Qu,,€10 - €15,3.0,,"Passeig de Gracia, 24","Qu Qu, Passeig de Gràcia, 24, 08007 Barcelona, Spain",41.3901575,2.1678809
5137,Gaft,,"Seafood, Mediterranean, European, Spanish",3.0,,Avenida Drassanes 6-8,"Drassanes, Carrer del Portal de Santa Madrona, 80002 Barcelona, Spain",41.3765687,2.1755547
5138,Frankfurt Diagonal,,"American, German, Bar, Spanish",3.0,,Avinguda Diagonal 186,"Avinguda Diagonal, 08034 Barcelona, Spain",41.3849398,2.113976
5139,La Crema,,"Spanish, Mediterranean",3.0,,"Dante Alighieri, 77","Carrer de Dante Alighieri, 08032 Barcelona, Spain",41.4278629,2.1586862
5140,Tapas 24 Camp Nou,,€15 - €30,3.0,,"Calle Aristides Maillol, 12","Carrer Aristides Maillol, Mataró, Spain",41.5546443,2.4422916
5141,Mepiace Vall Parc Restaurant,,"Mediterranean, Spanish",3.0,,"Carretera De L'Arrabassada, 107-127","08775 Cabrera d'Anoia, Spain",41.4806832,1.7300148
5142,Ginos,,"Italian, Pizza",3.0,,"Avinguda Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
5143,El Cafe D'en Victor,,,3.0,,12 Tapineria,"El Cafè D'en Victor, Carrer de la Tapineria, 12, 08002 Barcelona, Spain",41.3847931,2.1767008
5144,Con K,,,2.5,,Banys Vells 19,"Carrer dels Banys Vells, CP 08003 Barcelona, Spain",41.3842781,2.181061
5145,MasQMenos Diagonal Mar,,€10 - €30,2.5,,"Av. Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
5146,Bar - Restaurante Garganta la Olla,,,2.5,,Calle Hondures 78,"Catalonia, Spain",41.66667,2.0
5147,Pati Blau,,€9 - €25,3.5,,Carre de Jordi Girona 14,"Catalonia, Spain",41.66667,2.0
5148,Sushiya 1 Uno,,"Japanese, Sushi, Asian",3.0,,Calle Quintana 4,"Sushi Ya, Carrer d'en Quintana, 4, 80002 Barcelona, Spain",41.3810629,2.174489
5149,Burger King,,Fast Food,3.0,,Carrer Arago 259,"Carrer Aragó, 08870 Sitges, Spain",41.2387213,1.8155559
5150,Vinals 1906,,€6 - €20,2.0,,"Avinguda Diagonal, 557","Uno De 50, Avinguda Diagonal, 557, 08029 Barcelona, Spain",41.3989776,2.1695371
5151,Evinia,,Spanish,2.5,,Via Laietana 23,"Cubedo, Via Laietana, 23, CP 08003 Barcelona, Spain",41.3837108,2.1788357
5152,CERVECERIA-RESTAURANTE SANTANA,,"Mediterranean, Spanish, Mexican",4.5,,"Peniscola, 27","Carrer de Peníscola, 27, 08033 Barcelona, Spain",41.4533968,2.1902273
5154,El nou tipi tapa,,"Spanish, Cafe",4.0,,Paseo de maragall 408,"Maragall, Carrer de Prat d'en Roquer, 08031 Barcelona, Spain",41.4252173,2.1763967
5155,Bar Lorenzo,,"Mediterranean, Spanish, Catalan",2.0,,"Passeig de la Bonanova 105, 08017 Barcelona","Morro Fi, Passeig de la Bonanova, 105, 08034 Barcelona, Spain",41.4012224,2.1240569
5156,TGB The Good Burger,,"Fast Food, American",3.0,,Carrer Villarroel 223,"La Villarroel, Carrer de Villarroel, 87, 08011 Barcelona, Spain",41.3845152,2.1573507
5157,Restaurante Afiparc,,,3.0,,Carrer d'Olot,"Carrer d'Olot, 08023 Barcelona, Spain",41.4131962,2.1527966
5158,Tapa Tapa,,Spanish,2.0,,"Avinguda Diagonal, N. 208","Avinguda Diagonal, 08034 Barcelona, Spain",41.3849398,2.113976
5159,La Bottega di Lapio,,"Italian, Pizza, Fast Food, Mediterranean, Neapolitan, Campania, Southern-Italian",2.0,,"Carrer de Torrijos, 53","La Bottega di Lapio, Carrer de Torrijos, 53, 08012 Barcelona, Spain",41.4045731,2.1575966
5160,Kyoka,,"Japanese, Sushi, Asian, Fusion",3.0,,"Avinguda Diagonal, 168","Avinguda Diagonal, 168, 08018 Barcelona, Spain",41.4057343,2.1957052
5161,Drugstore Restaurant,,,2.5,,"C/ Tuset, 19-21","Carrer de Tuset, 08006 Barcelona, Spain",41.3956711,2.1523527
5162,Peccato Di Gola,,"Pizza, Italian",3.0,,"Carrer Joaquin Costa, 18","Catalonia, Spain",41.66667,2.0
5163,El Celler del Nou Priorat,,€10 - €25,3.5,,"Vallespir, 19","Edifici Octàvia, Carrer de Vallespir, 19, 08190 Sant Cugat del Vallès, Spain",41.4797311,2.0683632
5164,Bar La Tasqueta de Can Felipa,,Spanish,3.0,,"Pallars, 243","08586 Perafita, Spain",42.0553441,2.108565
5165,Canas y Tapas,,"Mediterranean, European, Spanish",3.0,,"208, Avinguda Diagonal","Glòries Multicines, Avinguda Diagonal, 208, 08018 Barcelona, Spain",41.4053714,2.1928801
5166,Ginos,,Italian,3.0,,"Carrer De Potosi, 2","Carrer de Potosí, 2, 08030 Barcelona, Spain",41.4427541,2.2002297
5167,Arabian Nights Restaurant,,€2 - €30,4.5,,"Moll de Gregal Port Olimpic, 26","Olympic Port, Catalonia, Spain",41.387,2.20029
5168,Restaurant La Vid,,"Spanish, Mediterranean",3.0,,Carrer Foc 44,"Foc, Passeig de la Zona Franca, 08038 Barcelona, Spain",41.3558512,2.1421622
5169,La Fonda Del Camino,,"Colombian, South American",3.0,,"C/ 26 de Gener, 26","08279 Avinyó, Spain",41.8699234,1.9934787
5170,Frank Burg & Bikes,,,4.0,,Sardenya 386,"Sardenya, Carrer de Sardenya, 08088 Barcelona, Spain",41.4036868,2.1730622
5171,Peix Fresc,,Mediterranean,2.0,,"Parlament, 46","Carrer del Parlament, 46, 08001 Barcelona, Spain",41.3770416,2.163835
5172,La Cordial,,"Seating, Wheelchair Accessible, Serves Alcohol, Table Service",3.0,,Enric Granados 1,"Av. Rius i Taulet, Enric Granados, Avinguda de Rius i Taulet, 08172 Sant Cugat del Vallès, Spain",41.4720436,2.0814069
5173,KFC Meridiana,,Fast Food,3.0,,Avenida Meridiana 348,"Avinguda Meridiana, 08026 Barcelona, Spain",41.4121681,2.1868058
5174,Tapas i Apat,,,2.5,,"Las Ramblas, 15","Hostafrancs, Barcelona, Catalonia, Spain",41.3750877,2.1429334
5175,Traga tio,,International,4.5,,Teodor llorente 5,"Passatge de Teodor Llorente, 08205 Sabadell, Spain",41.5473189,2.0946462
5176,Central Cafe (Calvet),,"Cafe, Mediterranean, European, Spanish, Healthy",4.0,,"Calle Calvet, 1","Calvet, Carrer del Tenor Viñas, 12, 08021 Barcelona, Spain",41.3950395,2.142893
5177,Restaurante Marinero,,"Lunch, Dinner",2.5,,"C/Pau Claris, 189","Pau Claris, Gran Via de les Corts Catalanes, 08007 Barcelona, Spain",41.3897269,2.1688642
5178,Casa de los Navarros,,"Mediterranean, Spanish",3.0,,"Maragall, 375","Maragall, Carrer de Prat d'en Roquer, 08031 Barcelona, Spain",41.4252173,2.1763967
5179,Panchito Gracia,,€3 - €10,3.0,,"Calle Bruniquer, 33-35","Bruniquer, Carrer de Bruniquer, 08037 BCN Barcelona, Spain",41.4056088,2.1621684
5180,El Meu Poble,,Reservations,2.5,,"Avinguda Del Princep D'asturies, 29","Avinguda de la Riera de Cassoles, 8 Barcelona, Spain",41.4058277,2.1500512
5181,Cerveceria Pepe,,Spanish,2.5,,Av del Paralelo 75,"Catalonia, Spain",41.66667,2.0
5182,El Rincon Peruano,,,2.5,,"Carrer d'Entenca, 146","Carrer d'Entença, 146, 8015 Barcelona, Spain",41.3816959,2.148235
5183,Medulio,,,2.5,,"Princep D""asturies, 6","Avinguda de la Riera de Cassoles, 08006 Barcelona, Spain",41.4037891,2.1500181
5184,CAFE DORE Mandri,,"American, Spanish",3.5,,"Mandri, 36","Carrer de Mandri, 08022 Barcelona, Spain",41.4020588,2.1351318
5185,Almina Mar,,"Mediterranean, Spanish",2.5,,"Carrer de Sant Antoni Maria Claret, 132","Almina Mar, Carrer de Sant Antoni Maria Claret, 132-136, 08025 Barcelona, Spain",41.4080517,2.1703488
5186,Braseria Patio Maragall,,"Barbecue, Spanish",2.5,,Calle Ramon Albo 5,"Carrer de Ramon Albó, 08031 Barcelona, Spain",41.4261921,2.1772852
5187,Bar Restaurant Coto Alto,,Cafe,2.5,,"Passeig del Taulat, 232","Passeig del Taulat, 08019 Barcelona, Spain",41.4093534,2.2175438
5188,Hiper Bocata,,"Fast Food, Spanish",3.0,,Via Julia 48-54,"Via Júlia, 08042 Barcelona, Spain",41.4459725,2.1797468
5189,Yun Lai,,Chinese,2.5,,"Placa Maragall, 20","Plaça Maragall, Berga, Spain",42.1043722,1.8452274
5190,Downtown Restaurant,,€10 - €30,3.0,,Carrer de n'Amargos 13,"Catalonia, Spain",41.66667,2.0
5191,Heladeria Mozart,,,2.0,,"Carrer de Moscou, 26","Carrer de Moscou, 08071 Barcelona, Spain",41.3870098,2.1938596
5192,Alta Galicia,,€8 - €28,3.0,,93/95 Rambla Del Poblenou,"Rambla del Poblenou, 93-95, 08005 Barcelona, Spain",41.402454,2.1991883
5193,Cafeteria Cervesseria Belles Arts II,,Spanish,2.5,,288 Travessera de les Corts,"Belles Arts II, Travessera de les Corts, 288, 08029 Barcelona, Spain",41.387298,2.1361977
5194,Restaurante Yague,,Spanish,3.0,,"Girona, 13","Girona, Catalonia Square, Barcelona, Spain",41.3870006,2.169377
5195,Cafe Escac,,"Bar, Mediterranean, European, Spanish",3.0,,"Placa Del Bonsucces, 5","Saula, Plaça del Bonsuccés, 5, 08001 Barcelona, Spain",41.3837802,2.1695665
5196,Bodegon del Norte -Marzan,,"Spanish, Mediterranean",3.0,,"Valencia, 207","Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
5197,BAR RESTAURANT EL TAJO,,"Mediterranean, Spanish, Diner",1.0,,"Carrer Londres, 63","Carrer Londres, 08400 Granollers, Spain",41.5965593,2.2792652
5198,La Fusion,,€10 - €25,2.0,,"Calle Santander, 82","Cal Xic Montesell, Vallgorguina, Catalonia, Spain",41.6558344,2.5069667
5199,Salzburg C.C. Heron City,,Fast Food,3.0,,"Avinguda de Rio de Janeiro, 42","McDonald's, Avinguda de Rio de Janeiro, 42, 08016 Barcelona, Spain",41.4354928,2.1806468
5200,Al Solete,,,2.0,,"Passeig de la Bonanova, 109","Passeig de la Bonanova, 08022 Barcelona, Spain",41.406455,2.1331198
5201,Can Canyes,,"Breakfast, Lunch, Dinner",2.5,,"Carrer de Llull, 396","Carrer de Llull, 396, 08019 Barcelona, Spain",41.411409,2.2165986
5202,Domino's Pizza,,"Pizza, Fast Food",3.0,,"Avenida Madrid, 118","Avenida Madrid, Carrer de Lluçà, 08014 Barcelona, Spain",41.380869,2.1312591
5203,Kentucky Fried Chicken,,Fast Food,3.0,,"Francesc Macia, 8","General Optica, Francesc Macià, 8;9, 08021 Barcelona, Spain",41.3922,2.14486
5204,Restaurant Cibreiro,,Mediterranean,3.0,,"Carrer Petrarca, 14-16","Carrer de Petrarca, 08043 Barcelona, Spain",41.4296207,2.1661527
5205,Yoshino,,"Japanese, Sushi, Asian, Chinese",2.5,,Carrer Mallorca 105,"Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
5206,Forn de Pa Sta Rita,,,1.0,,"Carrer Gran de Gracia, 214","Carrer Gran de Gràcia, 214, 08012 Barcelona, Spain",41.4040854,2.1518776
5207,El Raconet De La Silvia,,€9 - €25,1.0,,Travessera de Les Corts 132,"Travessera de les Corts, 08021 Barcelona, Spain",41.3891656,2.1391362
5208,Pedregal Bar-Restaurant,,,2.5,,"Carrer Diputacio, 270","Carrer Diputacio, 08780 el Papiol, Spain",41.4399999,2.0118282
5209,El Raconet del Moli,,"Breakfast, Lunch, Dinner",1.0,,"Carrer Pere Calders, 14","Carrer Pere Calders, 08512 les Masies de Voltregà, Spain",42.0082403,2.242291
5210,Station Barcelona,,Mediterranean,2.5,,Marques d l'Argentera 6,"Avinguda del Marquès de l'Argentera, 14 - Avinguda del Marques Argentera 19, CP 08003 Barcelona, Spain",41.3850889,2.1852146
5211,Dar El Kamar,,Dinner,3.0,,"Gran Via De Les Corts Catalanes, 633","Dar el Kamar, Gran Via de les Corts Catalanes, 633, 080009 Barcelona, Spain",41.391455,2.1705577
5212,De Tapas,,€14 - €27,3.0,,C/ Marina 22,"08729 Castellet i la Gornal, Spain",41.25977,1.6430355
5213,La Reina del Raval,,"Mediterranean, Spanish, European",3.0,,Rambla del Raval 3,"Rambla del Raval, Barcelona, Spain",41.3786363,2.1694027
5214,Santagloria,,Cafe,2.0,,"Calle de Ganduxer, 8","Carrer de Ganduxer, 08022 Barcelona, Spain",41.4046843,2.1300311
5215,Paso de Agua,,€10 - €39,4.5,,Calle La Maquinista No 13,"Catalonia, Spain",41.66667,2.0
5216,Meson Rincon de Galicia,,Spanish,3.0,,"Portal Nou, 61","el Portal, Carrer Nou, 08540 Centelles, Spain",41.798064,2.2183227
5217,Farga,,"Breakfast, Brunch",3.0,,Corcega 317,"Corsican Mouflon, Plaça de Joan Fiveller, Barcelona, Spain",41.3859039,2.1890049
5218,Jin Du,,"Chinese, Spanish, Asian",2.5,,C/ Gran Via 758,"Gran Via, 08206 Sabadell, Spain",41.5610724,2.1013811
5219,La llavor d'Isis,,"Spanish, Mediterranean",3.0,,Pl. Major 12,"Plaça Major, Cal Cominçà, Berga, Catalonia, Spain",42.0941638,1.8343023
5220,Il pomo d'oro,,"Italian, Pizza, Mediterranean",3.0,,De Les Corts Catalanes 618,"Catalonia, Spain",41.66667,2.0
5221,Restaurante Rincon Manchego,,Mediterranean,2.5,,Calle Pintor Tapiro 8,"Carrer Pintor Tapiró, 08903 l'Hospitalet de Llobregat, Spain",41.3777596,2.1186999
5222,210bar carrer casanova Barcelone,,"Bar, Pub",1.0,,210 Bar,"210, T1 Airport exit, 08820 el Prat de Llobregat, Spain",41.2916683,2.0720517
5223,Foster's Hollywood,,American,2.5,,C/Passeig De Potosi 2,"Catalonia, Spain",41.66667,2.0
5224,Jaipur Palace Indian Restaurant,,Indian,2.5,,"C Mexic, 17","Mexic, 08320 el Masnou, Spain",41.4837612,2.3278275
5225,Zen Sushi creativo,,"Japanese, Sushi, Asian",3.0,,"Calle Villarroel 220,08036","08036, Spain",41.3888,2.159
5226,Bar Anton,,Spanish,2.0,,"Carrer de Valencia, 453","Bar Anton, Carrer de València, 453, 08088 Barcelona, Spain",41.4031882,2.1770536
5227,Suite 191,,"European, Spanish",2.5,,Aribau 191,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
5228,La Vespa Panaderia Degustacion,,"Cafe, Spanish",2.0,,Carrer del Consell de Cent 456,"Carrer del Consell de Cent, 456, 08007 Barcelona, Spain",41.3988059,2.1761685
5229,Edelweiss,,Japanese,1.0,,"Carrer de la Granada del Penedes, 19","Carrer de la Granada del Penedès, 08006 Barcelona, Spain",41.3969659,2.1527906
5230,Burr & Taco,,Mexican,1.0,,Calle Boters Number 15,"Carrer Boters, 08750 Molins de Rei, Spain",41.41273,2.01667
5231,Can Tomaquet,,"Mediterranean, Spanish, Contemporary",3.0,,"Placa d'Orfila, 12","Plaça d'Orfila, Passeig de Torras i Bages, 08030 Barcelona, Spain",41.436003,2.1910264
5232,Foster's Hollywood,,"Lunch, Dinner",3.0,,"Avda. Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
5233,Gala Restaurant,,€6 - €28,3.0,,Carrer de Joan Torras 26,"Carrer de Joan Torras, 26, 08030 Barcelona, Spain",41.4376029,2.1907914
5234,Garbi Snack-Bar,,Spanish,3.5,,470 Gran Via,"Gran Via, 08206 Sabadell, Spain",41.5610724,2.1013811
5235,izan Corner,,€5 - €25,5.0,,"Carrer de la Cerdanya, 3. Rubi","Carrer de la Cerdanya, 08777 Font-rubí, Spain",41.4433577,1.6213782
5236,Restaurante Chino Pekin,,"Chinese, Asian",3.0,,"Aparici, N0 4 - Caldes de Montbui","Carrer Aparici, 08140 Caldes de Montbui, Spain",41.6315884,2.1660936
5237,La Bodegueta de les Corts,,,2.5,,Travessera de les Corts 154,"Travessera de les Corts, 08021 Barcelona, Spain",41.3891656,2.1391362
5238,Petipe,,€4 - €6,1.0,,Vic 25,"Vic, Catalonia, Spain",41.9302021,2.2545943
5239,Restaurant Saraba,,€8 - €15,4.5,,"Carrer de Villarroel, 30","Carrer de Villarroel, 30, 08011 Barcelona, Spain",41.381884,2.161525
5240,Restaurante Mabi,,"Mediterranean, European, Spanish",3.0,,Constanca 6,"Constança, Carrer de Constança, 08021 Barcelona, Spain",41.3892684,2.1348248
5241,La Grotta del Clot,,"Italian, Pizza, Fast Food",2.5,,Carrer Del Clot 179,"Carrer del Clot, 08026 Barcelona, Spain",41.4164135,2.1914015
5242,La Penultima Del Clot,,"Breakfast, Lunch, Dinner, Drinks",3.5,,"Avinguda Meridiana, 97","Avinguda Meridiana, 97, 08026 Barcelona, Spain",41.4069687,2.1865602
5243,Am8 Cafe,,€2 - €10,2.5,,"Carrer d'Ausias Marc, 4","Carrer d'Ausiàs Marc, 08840 Viladecans, Spain",41.3191887,2.0227251
5244,Chirringuito Las Vegas,,Spanish,2.0,,Carrer de Pontevedra,"Carrer de Pontevedra, 08 Barcelona, Spain",41.3784024,2.1901748
5245,Nass Beach,,"Bar, Mediterranean, European, Spanish, Contemporary, Pub, Fusion",2.5,,"Pl. Del Mar, S/N","Plaça del Mar, Sant Oleguer, Sabadell, Catalonia, Spain",41.5428572,2.1174591
5246,La caseta del migdia,,"Mediterranean, Spanish, European",3.0,,Montjuic,"08004 Barcelona, Spain",41.3647625,2.154233
5247,Nou Mundial,,"Cafe, International, Spanish",2.5,,130 Travessera de Les Corts,"Travessera de les Corts, 08021 Barcelona, Spain",41.3891656,2.1391362
5248,El Bergueda,,,2.0,,"Canuda, 11","Restaurante cafeteria el Fergueda, Carrer de la Canuda, 11, 08001 Barcelona, Spain",41.3847542,2.1715098
