,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5952,Oriente,,Reservations,,,"Carrer Del Comte D'Urgell, 46-48","Carrer del Comte d'Urgell, 08936 Barcelona, Spain",41.3894109,2.1489478
5953,Fast & Healthy Burgers,,€6 - €15,,,Carrer de Benavent 23,"Carrer de Benavent, 08397 Pineda de Mar, Spain",41.6231852,2.6731744
5954,Zombie Lounge Bar,,"American, Brew Pub, Cafe, Pub, Healthy, Catalan",,,"Paseo Fabra i Puig, 482","Fabra i Puig, Passeig de Fabra i Puig, 08031 Barcelona, Spain",41.4302372,2.1740757
5955,Restaurante El Rebost De Montjuich,,€10 - €30,,,"Calle Creu Coberta, 58","Creu Coberta, Plaça Espanya, 8015 Barcelona, Spain",41.3752708,2.1483021
5956,H&E Cafe,,"Bar, Pub",,,Moll Adossat,"Moll Adossat, 08039 Barcelona, Spain",41.3634389,2.182767
5957,Mammy Blue,,"Breakfast, Lunch, Dinner",,,Carrer Lepant 346,"Carrer Lepant, 08291 Ripollet, Spain",41.4985934,2.1441239
5958,Orimaki,,€5 - €14,,,Carrer Cristobal de Moura 44,"Carrer Cristobal de Moura, 08930 Sant Adrià de Besòs, Spain",41.4227056,2.222468
5959,La Cuina del Clot,,€2 - €9,,,Carrer dels Escultors Claperos 40,"La Cuina de Clot, Carrer dels Escultors Claperós, 40, 08018 Barcelona, Spain",41.4065479,2.1890035
5960,Caffe Delle Fate,,Italian,,,Via Cesarea 143,"Catalonia, Spain",41.66667,2.0
5961,Plats i Taps,,€7 - €15,,,av.Diagonal 208,"Glòries Multicines, Avinguda Diagonal, 208, 08018 Barcelona, Spain",41.4053714,2.1928801
5962,El Asador de Rubi,,,,,"Ctra. De Sabadell, 47","Carretera de Sabadell, 08191 Rubí, Spain",41.5067397,2.0417572
5963,Pizzeria Trattoriai,,€2 - €18,,,"Carrer Nou de la Rambla,103","Carrer Nou de la Rambla, 103, 08001 Barcelona, Spain",41.3754278,2.1705353
5964,La Menta Latina,,"Lunch, Dinner",,,San Iscle #. 26,"Sant Iscle de Vallalta, Catalonia, Spain",41.6235601,2.5692875
5965,Salad Market Comte Borrell,,€6 - €12,,,"Carrer del Comte Borrell, 328","Carrer del Comte Borrell, 328, 332, 08029 Barcelona, Spain",41.3911943,2.1446818
5966,B&C restaurant,,€12 - €30,,,"Calle vilamur, 20","Carrer de Vilamur, 08014 Barcelona, Spain",41.3877892,2.1324114
5967,Restaurant Roc Gros,,"Breakfast, Lunch, Dinner",,,"Sant Francesc Xavier, 2","Av. de Gràcia, Sant Francesc Xavier, Avinguda de Gràcia, 08172 Sant Cugat del Vallès, Spain",41.4650492,2.0864896
5968,Arcadio's,,€10 - €25,,,Carrer De Blesa 39,"Carrer de Blesa, 08001 Barcelona, Spain",41.3721734,2.1685162
5969,El Cafeto De La Carme,,"Breakfast, Lunch, Dinner",,,"Carrer Muntaner, 44","Muntaner, Via Augusta, 08021 Barcelona, Spain",41.3986188,2.1428749
5970,Food&love,,€6 - €15,,,"Calle Amigo, 37","Amigó, Carrer de Tamarit, 08011 Barcelona, Spain",41.3794054,2.1617499
5971,Romantico Restaurant Lounge Bar,,Reservations,,,"Av. de Sarria, 17","Restaurant Argentina Vinya Rosa, Avinguda de Sarrià, 17, 08029 Barcelona, Spain",41.3899015,2.1467719
5972,Passion Fruit,,Healthy,,,"Avinguda Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
5973,Tu Cachapa Com,,Reservations,,,"Carrer Pacific, 53","Carrer del Pacífic, 08027 Barcelona, Spain",41.4260052,2.1892055
5974,Elias y Zacarias,,,,,"C/ Carme, 69","Carme, Catalonia, Spain",41.5319058,1.6198579
5975,Can Vilamari,,€9 - €46,,,"Carrer de Provenca, 32","Carrer de Provença, 32, 08029 Barcelona, Spain",41.3822894,2.1451544
5976,Sergi-Entrepans,,€5 - €15,,,"Carrer Olzinelles, 22","08470 Olzinelles, Spain",41.6618101,2.5257548
5977,Burger World Bcn,,Reservations,,,"Carrer del Consell de Cent, 257","Atame, Carrer del Consell de Cent, 257, 08011 Barcelona, Spain",41.3869204,2.1599135
5978,Intermezzo,,Reservations,,,"Carrer del Taquigraf Garriga, 58","Carrer del Taquigraf Garriga, 08292 Esparreguera, Spain",41.5387347,1.8662983
5979,Boix Petit de Sant Joan,,Spanish,,,Paseo de San Juan,"Catalonia, Spain",41.66667,2.0
5980,Marimorena BCN  Tapas,,Reservations,,,"Carrer de Loreto, 24","Marimorena BCN, Carrer de Loreto, 24-26, 08029 Barcelona, Spain",41.389919,2.1424208
5981,Cafe de l'estacio Placa Catalunya,,€2 - €11,,,"Estacion de Placa Catalunya, Placa Catalunya s/n 08002 Barcelona","08002, Spain",41.3888,2.159
5982,Forn el 7,,Spanish,,,Carrer rogent 7,"Carrer de Rogent, 08026 Barcelona, Spain",41.4090391,2.1852046
5983,Can Sadia Restaurant,,Spanish,,,Gran Via,"Gran Via, 08206 Sabadell, Spain",41.5610724,2.1013811
5984,Subway,,"Breakfast, Lunch, Dinner",,,Travessera De Dalt 81,"Travessera de Dalt, 08024 Barcelona, Spain",41.4111852,2.1576237
5985,El Raco de la Linda,,South American,,,"Carrer de Peris i Mencheta, 6","Carrer de Peris i Mencheta, 08032 Barcelona, Spain",41.4252366,2.1611088
5986,Bee Cakes,,€3 - €6,,,Carrer de Puigmarti 8,"Carrer de Puigmartí, 08037 BCN Barcelona, Spain",41.4021354,2.1601555
5987,Santagloria,,Cafe,,,"Calle de Buenos Aires, 38","Piper's Tavern, Carrer de Buenos Aires, 38, 40, 08036 Barcelona, Spain",41.3922,2.14697
5988,Enrich,,,,,Francesc Tarrega 29,"Francesc Tàrrega, Carrer de Garcilaso, 08027 Barcelona, Spain",41.4235766,2.1806944
5989,Timesburg Laietana,,€7 - €15,,,Via Laietana 20,"Via Laietana, 20, 08002 Barcelona, Spain",41.3837759,2.1792454
5990,La Vega Grill,,€15 - €20,,,"Passeig de l'Havana, 2-4","Cos Global, Passeig de l'Havana, 2-4, 08030 Barcelona, Spain",41.4363567,2.1961029
5991,Tomillo,,€2 - €10,,,Carrer fluvia 58,"Carrer Fluvia, 08380 Malgrat de Mar, Spain",41.6532985,2.7418749
